1,"[24,53]",24;53
1,"[121,12,59,16,159,73,140,163]",121;12;59;16;159;73;140;163
1,"[166,1,91,109,75]",166;1;91;109;75
1,"[24,134,15,136,6,119]",24;134;15;136;6;119
1,"[125,138,7,171]",125;138;7;171
1,"[110,13,127]",110;13;127
1,"[89,124,38]",89;124;38
1,"[154,37,163,75]",154;37;163;75
1,"[12,127]",12;127
1,"[132,123,4,119,175]",132;123;4;119;175
1,"[166,13,139,60,130]",166;13;139;60;130
1,"[79,47,36,152]",79;47;36;152
1,"[113,114,159,104,108,86]",113;114;159;104;108;86
1,"[99,155,113,125,28,84,32]",99;155;113;125;28;84;32
1,"[59,49,18]",59;49;18
1,"[132,12,58,102,137,50,164]",132;12;58;102;137;50;164
1,"[127,139,151,140,20]",127;139;151;140;20
1,"[166,57,37,104,115,28,108,164,76]",166;57;37;104;115;28;108;164;76
1,"[155,24,123,148,38,17,18,73,84]",155;24;123;148;38;17;18;73;84
1,"[113,25]",113;25
1,"[56,125,96]",56;125;96
1,"[155,57,134,157,49,107,118,173,52]",155;57;134;157;49;107;118;173;52
1,"[22,111,58,160,52,42]",22;111;58;160;52;42
1,"[124,113,146,49,151,10]",124;113;146;49;151;10
1,"[132,57,102,59,80,129,82]",132;57;102;59;80;129;82
1,"[138,73,32]",138;73;32
2,"[132,78,101,158,104,171,30,174]",132;78;101;158;104;171;30;174
2,"[22,79,112,24,84,174]",22;79;112;24;84;174
2,"[136,150,142]",136;150;142
2,"[11,57,24,36,16,127,150,131]",11;57;24;36;16;127;150;131
2,"[114,60,65]",114;60;65
2,"[106,82]",106;82
2,"[154,143,144,134,107,81,94,164]",154;143;144;134;107;81;94;164
2,"[102,139,162,120]",102;139;162;120
2,"[13,156,125,169,148,108,60,52]",13;156;125;169;148;108;60;52
2,"[40,130,141,98]",40;130;141;98
2,"[67,134,149,107,173,151,142]",67;134;149;107;173;151;142
2,"[57,145,118,50,83,171,63]",57;145;118;50;83;171;63
2,"[114,117,109,162]",114;117;109;162
2,"[143,167,13,140,85]",143;167;13;140;85
2,"[144,115,106]",144;115;106
2,"[99,25,141]",99;25;141
2,"[1,103,115,5,137,149]",1;103;115;5;137;149
2,"[176,35,3,136,137,72,30,54]",176;35;3;136;137;72;30;54
2,"[135,106,73,175]",135;106;73;175
2,"[121,100,149,171,83,21]",121;100;149;171;83;21
3,"[122,166,135,103,159,139,61,94,76]",122;166;135;103;159;139;61;94;76
3,"[143,101]",143;101
3,"[55,1,102,26,49,129,150,21]",55;1;102;26;49;129;150;21
3,"[144,35,125,160]",144;35;125;160
3,"[155,166,156,136]",155;166;156;136
3,"[110,3,27,85,64]",110;3;27;85;64
3,"[100,168,4,80,19,170,98]",100;168;4;80;19;170;98
3,"[148,151]",148;151
3,"[66,89,69,114,84]",66;89;69;114;84
3,"[111,133,81]",111;133;81
3,"[11,3,103,53]",11;3;103;53
3,"[123,13,104,83,171,173,175]",123;13;104;83;171;173;175
3,"[132,12,113,129,72,51,64,87]",132;12;113;129;72;51;64;87
3,"[117,82,95,96]",117;82;95;96
3,"[27,7]",27;7
3,"[46,147,125,117,86,120]",46;147;125;117;86;120
3,"[99,144,73]",99;144;73
3,"[45,12,50,72,142]",45;12;50;72;142
3,"[77,57,101,157,69,127,9,92]",77;57;101;157;69;127;9;92
3,"[33,100,146,157,14,52,53]",33;100;146;157;14;52;53
3,"[132,67,100,23,126,127,139,95]",132;67;100;23;126;127;139;95
3,"[154,123,49,16,171,173,97,152]",154;123;49;16;171;173;97;152
3,"[150,75]",150;75
3,"[57,146,63]",57;146;63
3,"[154,78,127]",154;78;127
3,"[132,79,48,91,109,50]",132;79;48;91;109;50
4,"[133,17]",133;17
4,"[22,126]",22;126
4,"[100,147,16,29,8,60,160,97,87]",100;147;16;29;8;60;160;97;87
4,"[176,113,136,159,117,160]",176;113;136;159;117;160
4,"[143,122,45,124,127,117,74,98]",143;122;45;124;127;117;74;98
4,"[121,151,174]",121;151;174
4,"[122,107,108,53]",122;107;108;53
4,"[121,24]",121;24
4,"[12,69]",12;69
4,"[56,156,116]",56;156;116
4,"[12,123,158,104,51,75,175]",12;123;158;104;51;75;175
4,"[11,36,37,98]",11;36;37;98
4,"[55,66,79,123,5,92,60,94]",55;66;79;123;5;92;60;94
4,"[121,14,147,115,109,62,53,75]",121;14;147;115;109;62;53;75
4,"[35,16,31]",35;16;31
4,"[22,166,123,14]",22;166;123;14
4,"[146,90,117,173,174]",146;90;117;173;174
