1,"[38,106]",38;106
1,"[179,125,106,181,41]",179;125;106;181;41
1,"[177,25,159,172]",177;25;159;172
1,"[110,156,103,175]",110;156;103;175
1,"[11,144,177,140,141,31]",11;144;177;140;141;31
1,"[12,14,25,116,41,52]",12;14;25;116;41;52
1,"[177,119]",177;119
1,"[1,158,9,40,10]",1;158;9;40;10
1,"[154,187,34,24,36,29,184,152]",154;187;34;24;36;29;184;152
1,"[0,24,106,197]",0;24;106;197
1,"[55,1,160,30,142]",55;1;160;30;142
1,"[105,51]",105;51
1,"[44,23,34,100,56,27,38,9,53]",44;23;34;100;56;27;38;9;53
1,"[9,193,150,183,142]",9;193;150;183;142
1,"[104,6,51,10]",104;6;51;10
1,"[133,28,107,10]",133;28;107;10
1,"[0,122,24,146,4,108,192]",0;122;24;146;4;108;192
1,"[56,2,13,113,39,51,195,20,153]",56;2;13;113;39;51;195;20;153
1,"[132,33,35,58,37,51]",132;33;35;58;37;51
1,"[47,149,180,141,131]",47;149;180;141;131
1,"[56,113,58,7,108,170]",56;113;58;7;108;170
1,"[16,138]",16;138
1,"[11,154,59,27,104,17,28,29]",11;154;59;27;104;17;28;29
1,"[33,3,59,16,105,139]",33;3;59;16;105;139
1,"[58,147,37,28,6,152]",58;147;37;28;6;152
1,"[189,16,5,108,193,31]",189;16;5;108;193;31
1,"[156,47,125,37,6,17,10]",156;47;125;37;6;17;10
1,"[122,3,14,103,159,5,192,182]",122;3;14;103;159;5;192;182
1,"[167,3,124,158,104,8,195]",167;3;124;158;104;8;195
1,"[44,1,57,189,158,6]",44;1;57;189;158;6
1,"[187,189,159,52,32]",187;189;159;52;32
1,"[169,197]",169;197
1,"[189,138,51,30,20,54]",189;138;51;30;20;54
1,"[0,48,26,190,129,140,162,54]",0;48;26;190;129;140;162;54
1,"[1,34,2,47,7,118,109]",1;34;2;47;7;118;109
2,"[55,133,3,59,40]",55;133;3;59;40
2,"[121,0,2,26,128,41,43,186,142]",121;0;2;26;128;41;43;186;142
2,"[144,38]",144;38
2,"[27,21,32]",27;21;32
2,"[15,169,48,104,159,119,173,142]",15;169;48;104;159;119;173;142
2,"[34,103,41,152]",34;103;41;152
2,"[187,189,169,26,170]",187;189;169;26;170
2,"[56,134,3,41,42]",56;134;3;41;42
2,"[147,118]",147;118
2,"[45,134,142]",45;134;142
2,"[166,49,28,18,53]",166;49;28;18;53
2,"[55,111,24,49,129,41,141]",55;111;24;49;129;41;141
2,"[178,127,130]",178;127;130
2,"[33,190,109,150,42,21]",33;190;109;150;42;21
2,"[187,3,28,183]",187;3;28;183
2,"[44,2,126,105,149,107,193,160,41]",44;2;126;105;149;107;193;160;41
2,"[123,57,39,105,160]",123;57;39;105;160
2,"[110,23,156,26,38,163]",110;23;156;26;38;163
2,"[12,135,148,180,150]",12;135;148;180;150
2,"[177,54,10]",177;54;10
2,"[23,142]",23;142
2,"[165,3,4,128]",165;3;4;128
2,"[192,160]",192;160
2,"[157,7,180,195]",157;7;180;195
2,"[155,34,49,27,139]",155;34;49;27;139
2,"[115,127]",115;127
2,"[35,134,102,4,139,190,191,42,31]",35;134;102;4;139;190;191;42;31
2,"[199,16,117,107,9,163]",199;16;117;107;9;163
2,"[165,37,27]",165;37;27
2,"[133,127,18,9,51]",133;127;18;9;51
2,"[25,5,29,183,173,41,174,10,32]",25;5;29;183;173;41;174;10;32
2,"[179,59,170,173,20]",179;59;170;173;20
2,"[46,2,135,148,172,20]",46;2;135;148;172;20
2,"[165,28,190,43]",165;28;190;43
3,"[56,14]",56;14
3,"[156,141]",156;141
3,"[133,31,10]",133;31;10
3,"[44,26,104,6,29,184,152,10]",44;26;104;6;29;184;152;10
3,"[0,11,12,133,101,48,159,191,51]",0;11;12;133;101;48;159;191;51
3,"[45,56,178,146,58,116,6,184]",45;56;178;146;58;116;6;184
3,"[55,59,138,50,52,173,141]",55;59;138;50;52;173;141
3,"[45,158,109,30]",45;158;109;30
3,"[5,182,172]",5;182;172
3,"[128,139,129,140]",128;139;129;140
3,"[196,20,163]",196;20;163
3,"[0,15,106,151,186]",0;15;106;151;186
3,"[187,123,16,127,7,117,108,9]",187;123;16;127;7;117;108;9
3,"[132,156,14,37,16,160,152]",132;156;14;37;16;160;152
3,"[15,48,104,148]",15;48;104;148
3,"[100,133,101,46,157,37,50,161,43]",100;133;101;46;157;37;50;161;43
3,"[145,58,7]",145;58;7
3,"[11,14,26,8,107,119,151]",11;14;26;8;107;119;151
3,"[167,156,29]",167;156;29
3,"[134,30,195]",134;30;195
3,"[128,192,52]",128;192;52
3,"[155,47,103,16]",155;47;103;16
3,"[49,139,109]",49;139;109
3,"[168,182,184]",168;182;184
3,"[29,8,9,160,40,130]",29;8;9;160;40;130
4,"[176,188,34,178,36,38,28,20]",176;188;34;178;36;38;28;20
4,"[22,186]",22;186
4,"[147,195,153]",147;195;153
4,"[23,57]",23;57
4,"[34,26,158,125,27,116,193,50]",34;26;158;125;27;116;193;50
4,"[11,154,3,115,170,172,42,197]",11;154;3;115;170;172;42;197
